"altTagText","corporateCode","get_directions_url","id","latitude","longitude","type","url"
"Rite Aid at 7967 Baltimore Annapolis Blvd Glen Burnie, MD","03781","https://maps.google.com/maps?cid=6034895445224601442",1254447,39.134468,-76.584025,"main",""
"Rite Aid at 1003 Pulaski Highway Havre De Grace, MD","11211","http://maps.google.com/?q=1003+Pulaski+Highway%2C+Havre+De+Grace%2C+MD+21078+US+%28Rite+Aid%29&output=classic",1250365,39.545839,-76.108205,"main",""
"Rite Aid at 11401 Coastal Highway Ocean City, MD","03835","https://maps.google.com/maps?cid=4398594835028533801",1250690,38.419791,-75.058052,"main",""
"Rite Aid at 9300 Lakeside Boulevard Owings Mills, MD","03871","https://maps.google.com/maps?cid=3321683525422556335",1254769,39.3987431,-76.7966104,"main",""
"Rite Aid at 101 Reisterstown Road Pikesville, MD","04686","https://maps.google.com/maps?cid=10084647859151279508",1250393,39.364325,-76.712497,"main",""
"Rite Aid at 505 Linden Avenue Pocomoke City, MD","03837","https://maps.google.com/maps?cid=4537157196880807218",1253596,38.0754035,-75.5596714,"main",""
"Rite Aid at 12154 Brittingham Lane Princess Anne, MD","04909","https://maps.google.com/maps?cid=10457998990195092883",1250826,38.2157627,-75.7010091,"main",""
"Rite Aid at 8634 Liberty Road Randallstown, MD","00390","https://maps.google.com/maps?cid=3691038139566528737",1254626,39.3634981,-76.7798076,"main",""
"Rite Aid at 1208 Parsons Road Salisbury, MD","04920","https://maps.google.com/maps?cid=6987249801594844307",1250807,38.368076,-75.619297,"main",""
"Rite Aid at 1316 Mount Hermon Road Salisbury, MD","11219","https://maps.google.com/maps?cid=15404715374196218904",1250977,38.36582,-75.56735,"main",""
"Rite Aid at 25 Jones Station Road West Severna Park, MD","00386","https://maps.google.com/maps?cid=2989943928636919191",1252234,39.056877,-76.528236,"main",""
"Rite Aid at 250 Englar Road Westminster, MD","00347","https://maps.google.com/maps?cid=1125760116014377035",1252245,39.584344063652,-76.9910717010498,"main",""
"Rite Aid at 7 Westminster Shopping Center Westminster, MD","06830","https://maps.google.com/maps?cid=5754344652150725314",11595374,39.5647898,-76.9785755,"main",""
"Rite Aid at 1200 South Main St Adrian, MI","04405","https://maps.google.com/maps?cid=8664509947931847743",1250790,41.8807473,-84.0442039,"main",""
"Rite Aid at 402 Pointe Tremble Road Algonac, MI","04943","https://maps.google.com/maps?cid=7476910623808019555",1253114,42.6140248,-82.5357292,"main",""
"Rite Aid at 560 Jenner Drive Allegan, MI","01534","https://maps.google.com/maps?cid=371514430470156890",1253783,42.5204433,-85.859038,"main",""
"Rite Aid at 15411 Southfield Road Allen Park, MI","04445","https://maps.google.com/maps?cid=11979287985309368510",1251309,42.258055,-83.205474,"main",""
"Rite Aid at 1341 Wright Avenue Alma, MI","04378","https://maps.google.com/maps?cid=13562902364827946505",1251029,43.3912449,-84.6672933,"main",""
"Rite Aid at 860 North Van Dyke Road Almont, MI","07740","https://maps.google.com/maps?cid=15115277948553165259",1254623,42.928791,-83.04793,"main",""
"Rite Aid at 2140 US Highway 23S Alpena, MI","04532","https://maps.google.com/maps?cid=9824688197520021720",1251952,45.0456326,-83.4528932,"main",""
"Rite Aid at 2603 Jackson Avenue Ann Arbor, MI","04510","https://maps.google.com/maps?cid=3990838157845692651",1252311,42.2804033,-83.7827703,"main",""
"Rite Aid at 2781 Plymouth Road Ann Arbor, MI","04530","https://maps.google.com/maps?cid=9496719770126920741",1252397,42.3035874,-83.7056088,"main",""
"Rite Aid at 2980 Packard Street Ann Arbor, MI","04519","https://maps.google.com/maps?cid=17879612335975508878",1252498,42.2446933,-83.7007413,"main",""
